Pd He RT merge,Pd foil 0001.dat,Pd H2 RT merge
-3.854420244481688e-06,-4.823214890051236e-06,-2.430708622783195e-06
-0.0001221851217500695,-0.00015289591201462415,-7.705346334222728e-05
-0.0003334575793627975,-0.0004172834938717238,-0.00020959485395961183
-0.0006847268973431628,-0.0008568744211589819,-0.0004293854458773255
-0.0012052624588039017,-0.001508371680026848,-0.0007506211861622928
-0.0018065892217783797,-0.0022610344350501984,-0.0011190406743211833
-0.002579626362410519,-0.0032288032489524074,-0.0015825382562102196
-0.0034442961944523382,-0.004311484019228991,-0.002089890462697227
-0.004395216477538238,-0.005502332393941118,-0.0026382255468721133
-0.00546521195136959,-0.006842831078851699,-0.0032248857324552226
-0.006578925926000294,-0.00823838779107064,-0.003818917146072526
-0.007759790419820862,-0.009718743520988216,-0.004410767762572886
-0.008969015228009834,-0.011235432047779515,-0.00497078928023642
-0.010189548460999242,-0.01276677973596927,-0.005507975585305197
-0.011389972491545974,-0.014274638539932844,-0.005931454663887069
-0.01255494861904553,-0.015738881608759483,-0.006286485775749139
-0.013652670553318064,-0.01712023878335,-0.006519889966109955
-0.014621527088175088,-0.018342030972428855,-0.00656292208411717
-0.01551139117783743,-0.01946581187368897,-0.006501253230382049
-0.016152270389057883,-0.02028035963456996,-0.006124446088743433
-0.01661659495830369,-0.020875159050124433,-0.00555029786589824
-0.016877606113673102,-0.0212170245822511,-0.00474114661736559
-0.016733409957046082,-0.021054046396999797,-0.0035020750058867896
-0.016388825244102186,-0.020641198891589017,-0.002060963291679444
-0.015565628959132358,-0.019631491667023746,-0.0001368716043988116
-0.014347175675221436,-0.018128303797775473,0.0021594255468163
-0.012821869649102832,-0.01624211229078348,0.004751282573839279
-0.010551158920894619,-0.0134244646564941,0.008013149642534034
-0.007947918382286572,-0.010191051990325639,0.011566604455414794
-0.004720926430486791,-0.006177508466772532,0.015654522240552807
-0.0008427257062721709,-0.0013485682819900546,0.02026316597735679
0.0034128718745150967,0.003952852182307099,0.025178636378615653
0.008639508706187963,0.010471517440227587,0.030819053523401186
0.014315330858865705,0.017553841717927468,0.03677566307709264
0.0205831021109781,0.025379286462419413,0.043133516914637425
0.027660010538828703,0.03422188131537135,0.0499930174481503
0.03509922796997784,0.0435204239495062,0.05705769238362365
0.04329797520717647,0.053776396644458435,0.0644904653149102
0.05193667651162853,0.06458842283651496,0.07208093920539888
0.060925593732216926,0.0758437480153358,0.079768860390339
0.07046768868318447,0.08780280088834594,0.08747239022248025
0.0801274969576173,0.09991436992681096,0.09506693077315784
0.09006037217562113,0.11237881843882333,0.10244783816791217
0.09999070883544593,0.12485052770955646,0.1094013331310241
0.1098872045467828,0.13728588728860452,0.11608053939363659
0.11939199725073374,0.14924876479600888,0.12168151524098363
0.12852032347677272,0.16074674037411443,0.12668283430505656
0.13708045924012352,0.1715450044610121,0.1306963437747476
0.14452592071433706,0.18096012619714805,0.1331860349904854
0.1513312461553141,0.18957942869666278,0.13486107350849047
0.1562888532612012,0.19589855327709055,0.1342893790866322
0.15997236922072539,0.20062692699298088,0.13234385896669779
0.1622666082243536,0.2036216281883564,0.1288595012087621
0.16188985112995422,0.20327506992305955,0.12269258139410416
0.1602458424961125,0.20134200082708587,0.11527995961614694
0.15573930248331522,0.1958216059571849,0.10517660365008503
0.14873862763148968,0.18716961392592968,0.09295388904164593
0.13990508798052118,0.17621708016049126,0.07913847431616905
0.1262578982633943,0.1592098721455662,0.06169928472153527
0.11069482812941069,0.13978771786893182,0.04300265902748602
0.09173698700810387,0.11608302197836173,0.022218450943244657
0.0701398146992094,0.08903132891438047,0.0003511456648192593
0.04725176673042742,0.06034007067673576,-0.021962627366874484
0.022546207684314253,0.029309676327176813,-0.04395706224345643
-0.002465188403662461,-0.0021319830118064053,-0.06537550490272506
-0.02769655337163885,-0.03388616890651193,-0.08585659586041766
-0.052639614656525974,-0.06532769938309278,-0.10455624827646963
-0.07716601215087047,-0.0962675353900358,-0.12216201766663053
-0.10053975039362646,-0.12580799562679124,-0.1369627061692491
-0.12226261016341537,-0.15329794989945555,-0.14915711726960396
-0.14247991481239816,-0.17891624308374643,-0.15904666283431257
-0.1586759490877433,-0.199501610694508,-0.1638094313667484
-0.17310174390557,-0.21786388928714903,-0.1665748281315673
-0.18413450615464957,-0.2319633814734796,-0.16550832173454538
-0.19231377171334005,-0.24247094594731727,-0.16147897238160605
-0.19888414909675808,-0.25095432424405006,-0.1557174358069656
-0.2004722808361971,-0.2531633044610328,-0.1450098911223405
-0.19970405670476982,-0.2524009872917089,-0.13218560778169056
-0.19506966154234234,-0.2467653182209405,-0.11578369833771876
-0.18484570649586207,-0.2340703345155636,-0.09484708862541158
-0.17172651971275274,-0.21771719162748754,-0.07160445778622418
-0.15136345332504603,-0.19219531363077244,-0.04326158881663067
-0.126928754019726,-0.16150885186760205,-0.01242652367036214
-0.09824704976174725,-0.1254342943195233,0.020953054513865334
-0.06312084016716385,-0.08115908150881396,0.057242881105768806
-0.025303804589079017,-0.033454713504250146,0.0945576091758546
0.017459346012829932,0.02056794550352438,0.13311791607516077
0.06332267939104957,0.07857035182351968,0.1716331652589095
0.11106326284432749,0.1389874065375127,0.20990584596118328
0.16158142400573133,0.2030284021143716,0.2455680899515591
0.21213248743202565,0.26715673770926945,0.2792153539151461
0.26237117407648264,0.3309719306707649,0.30893940665706293
0.3102007379792414,0.39182617275953663,0.3327034650345094
0.35627441175029995,0.4505019541385153,0.3530346561408349
0.3956560891144897,0.5008132462658244,0.3629207220265895
0.4302214700019226,0.5450642605498411,0.36698035255135125
0.45886268959745374,0.5818666421863775,0.3635915707509933
0.4763989849192667,0.6046506716452242,0.34842991868871553
0.48837882608969735,0.6204079684013265,0.32786567336987565
0.4869792508971598,0.6192290332863631,0.2947789246201092
0.475689475930667,0.6054949388097426,0.25375195598194067
0.4561001348351544,0.5812285015442178,0.2058703913370296
0.41911531640919497,0.5348230629810352,0.14597347167629068
