Pd He RT merge,Pd foil 0001.dat,Pd H2 RT merge
2.2419538701496605e-05,1.4206278328794107e-05,2.5098788663974994e-05
0.0007106993768374423,0.00045033902302277315,0.0007956316006480072
0.0018289103447318945,0.0011522938022377404,0.0020323402125503633
0.003595866090786519,0.0022554468505303973,0.003972681995159675
0.005874285078059168,0.0036478590090627,0.006461783605070199
0.008359049086614468,0.005149892308701992,0.009178820098978507
0.011111009835821344,0.0067567189249302185,0.012221255988300712
0.01388375505260137,0.00832461923768991,0.01534278313312142
0.01666791348028207,0.009849758120980906,0.018531242629464588
0.019248813908146117,0.011143198258835715,0.021641883082964754
0.021708904711203656,0.012314889430209766,0.024682446431755264
0.02385061263242114,0.013195899950113422,0.02749819656640565
0.02565828596163847,0.01380083122999599,0.029996813992362585
0.027247844184055618,0.014230194882352783,0.032284213021220136
0.028210539608188243,0.014202890930972647,0.03374791122366354
0.028922347960245235,0.01401349577719787,0.034776216370152005
0.029196529432787204,0.01354496721748641,0.03503776669356838
0.029012000176313855,0.012703199868699578,0.03460526399602429
0.02860269346715432,0.011661222159503621,0.0338920662418251
0.02769423554657577,0.0100072673130561,0.03300817420907616
0.02644923846035142,0.008236585859107822,0.031995611573203006
0.02480158917967471,0.006316751414439152,0.03082529565966056
0.022305969094506356,0.004604174508765976,0.02880596821553469
0.019559022962261995,0.0027216248601714863,0.02650129637854004
0.016452133531684496,-4.421365510275197e-05,0.02370815296563554
0.013613930760373923,-0.0029100706252525228,0.020999810208565665
0.010963247737637611,-0.005868274106975413,0.018340233795249218
0.008725761052556189,-0.006401662041075588,0.01603596321408448
0.006026820491142257,-0.006995520634401656,0.01364300206954399
0.0022379267149366788,-0.008085941195271795,0.011013965015052722
-0.00015747066768099496,-0.009547329665758648,0.008527490212756452
-0.00195844595697775,-0.011151095684532424,0.0061185807138298505
-0.005014790017010315,-0.011871378681005441,0.004163832600965148
-0.007001427838929715,-0.011294446423658708,0.0022144633668773096
-0.007456303765712971,-0.008883484139302445,0.00028806710455264424
-0.007461390462837405,-0.007663436802310102,-0.0006925411622789829
-0.007316297468604742,-0.00643242610335666,-0.0012982942386494762
-0.007038248844925474,-0.003299675873434887,-0.0013006998334385963
-0.007140028985009382,0.00033675775345407694,-0.00041970494482113574
-0.007590140675925196,0.004413222791138635,0.001267407919872294
-0.002287240858106816,0.007945329025385764,0.0008426442737358738
0.002276620944649828,0.012258660684159099,0.0014933909309245914
0.0027153802203631855,0.01907095089433735,0.006000497698047306
0.006037382170119863,0.024721924298770022,0.006116694459154836
0.011046071113598632,0.02967076586882551,0.0036473664084493906
0.013291928852346264,0.03788697043561873,0.005733449298347246
0.01720875377045016,0.045581853878489474,0.00933856647109785
0.024070636133619455,0.052424035296747766,0.015581224545399314
0.026095550055211296,0.05920729413945098,0.01697740328552741
0.025948890337804995,0.06558336880688014,0.016587074182805153
0.02204753018828034,0.06885300647860056,0.015760743462932426
0.026980982116827916,0.07166003509873112,0.01589313227314696
0.041758145745362955,0.07397276696930416,0.017090943380977105
0.04525803322980203,0.0702560725220412,0.014247934499797828
0.043766953859499254,0.0670210555212839,0.010153180451754831
0.03145499556110616,0.06980937001809695,0.004238045479637844
0.023704846941254784,0.06894870729579042,-0.0052018740310155135
0.019191560626086006,0.06545922577140732,-0.017229503319440315
0.014706923703243798,0.0548679953277226,-0.031302108820503945
0.008426710012534254,0.04189870089263587,-0.04286945332674905
-0.0016202954819807026,0.02477210956716767,-0.048746798920687506
-0.011091538517258548,0.009298394997658057,-0.05904670026203287
-0.020675196223806654,-0.005777434970355115,-0.07161092544056125
-0.03645788641312998,-0.02687899189729507,-0.0883095467714082
-0.05242492231764017,-0.050379613407978086,-0.10323109384248776
-0.06851774303106903,-0.0769240115997913,-0.11565121635791707
